Gray
""
""
""
""
""
0.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.0
0.0
""
""
""
""
0.0
""
""
""
0.0
""
""
""
""
""
""
1.0
""
""
0.0
""
""
""
""
""
""
2.0
""
11.0
""
15.5
""
""
230.0
0.0
""
0.0
0.0
8.0
""
0.0
""
0.0
2.0
""
0.0
""
11.0
""
""
""
17.75
0.0
0.0
0.0
0.0
""
1.0
0.0
1.75
1.25
1.0
2.0
""
""
""
8.0
